cc,bits,count,pairs,min_gap_log2,median_gap_log2,mean_gap_log2,min_gap_hex,median_gap_hex,mean_gap_hex,max_gap_hex
13,65,13,12,53,59,60,0x231292e51f3792,0xeee3309fd2df71c,0x13bb4b63c90da533,0x376b5f5478dfd1ac
13,66,20,19,56,60,60,0x1591a9af94ed3f2,0x16f5ade39623948c,0x19f2a6dd60c3e620,0x383a11f31551bff8
13,67,28,27,55,60,61,0xd9fa676e05e6f0,0x19bc2171f94e1d50,0x22c98789f3ca3155,0xa4754887ca296d58
13,68,59,58,55,60,61,0xb5626e0ffbca94,0x17cc55f56f3af82e,0x22243361aa9f9816,0x82415b5918b37d98
13,69,79,78,55,61,61,0xd0a25fc8aa99d6,0x218a34cae76c0f97,0x32b46e87d4a6a6b5,0x13e43a7312c67fec6
13,70,151,150,52,61,61,0x1482dd013608e2,0x25689b058f13e1b8,0x362261ae18ce0cbe,0x121c522817cf3216a
13,71,156,155,54,62,62,0x4f26c6d4ffbc8c,0x4fb45f5c492d2f04,0x6974fd19755f5fe4,0x2ff0ab8dc5d412342
13,72,276,275,50,62,62,0x7b32742a0e5be,0x4d5b99752479bac2,0x7691e9aac95dc249,0x2b290d294939d3952
13,73,442,441,53,62,63,0x2a33db37a345a4,0x67af57d5171826de,0x93eac0a46859749c,0x410660919549e17c0
13,74,537,536,53,63,63,0x2bbb62180e9672,0x9ed3010fa01f74cf,0xf430337263c2aa25,0x8d237b04e46ced702
13,75,284,283,58,64,65,0x4764a3f8244bdc2,0x178b7f82f7f697566,0x3980f49e9194ffa63,0x25e68e0b0ba9d342da
13,76,1080,1079,56,64,64,0x16bfa4c415987c0,0x137083f68c3089c64,0x1e51b48566107a3fe,0xe588b63a3be5b149c
13,77,71,70,60,64,69,0x16687d2d3e506df8,0x1a237383b2b1fa7b0,0x36d528b10109963df6,0x3010e0411d863cc6588
13,83,1,0,,,,,,
13,84,8,7,78,79,79,0x4ec39e75cad39458ece8,0xbb3bc2294837a327a7b2,0xf1821de60a4fd8cd4ad5,0x2019aedbe1ce04bc625cc
13,85,25,24,67,78,79,0xe10ce1c30e9005de8,0x4e8710997beb05f593c6,0x97e1d79a03767e41f208,0x4de805974966ee2920900
13,86,109,108,63,77,78,0xfa761fa869b57b2c,0x2a2c5b54016f302eb1d3,0x4881e10145d9d02e4aed,0x317ae366d4d0da1b08804
13,87,273,272,58,71,77,0x63151d517dabc98,0xae30a523430bef7aea,0x3ae1dcb4460d2a0973d4,0x28589f662cca1999835ce
13,88,791,790,61,69,77,0x29b09c0321290c30,0x37a7dad8ac5b79ca03,0x292f957d124b3140e189,0x2b3a3e2edda2e5a77eca4
13,89,739,738,65,77,78,0x24e92effa14bcc712,0x3b91d44836b21e905f3d,0x58c52b0ae9709902a4f0,0x29cb551a7f1ff46c11d8c
13,90,1435,1434,56,77,78,0x1fb6bf3be8a9a1a,0x36fc35f0f2baa8ffa4d8,0x5b158ef51c13a84e3918,0x279507dd5d799f4de2cf6
13,91,608,607,69,80,80,0x36a4b66eb1f8e6c8f0,0x128ecaea1c12c115aab3a,0x1af4cdd2589674a82b357,0x98b547af1e909bb87b7bc
13,92,10,9,84,87,87,0x1be7d778d7a332488f59dc,0xbe527a7686b018ee660554,0xd8ff8260f33903dc623b1f,0x19807e8720788bb1d020d6e
13,93,9,8,86,87,88,0x4dc15ff09a227cca01a988,0xf625876863d3c9725de64b,0x1e7515a8c49ed76937ec146,0x458af4176d0ac430d65a2a2
13,94,3,2,90,90,90,0x436a02afd1a14d8a340bb56,0x4c479d93102942cd33969d3,0x4c479d93102942cd33969d3,0x552538764eb138103321850
13,95,1,0,,,,,,
13,97,1,0,,,,,,
14,62,1,0,,,,,,
14,63,1,0,,,,,,
14,64,3,2,57,61,61,0x333138523c20d5a,0x3a9c1aa11b816f16,0x3a9c1aa11b816f16,0x720521bd1340d0d2
14,65,1,0,,,,,,
14,66,4,3,61,62,62,0x31538517158e2660,0x6bf775ccfc2e5c02,0x75d44433a142b5f4,0xc431d1b6d20b9f7a
14,67,7,6,60,62,63,0x19d06b85b66980e0,0x547041ed0671f0fd,0x8e7af81841587b0d,0x1dee7d2e1b8d8bf32
14,68,10,9,59,62,63,0x9ce87d9b6f710be,0x48b219f79cba1e9a,0xcc74dfb8553c91c6,0x2527b281da33dfeb0
14,69,16,15,60,62,63,0x16ef2075fe383462,0x78ce80e160cb9a26,0xf38139b55d734304,0x326eef02ffb860f34
14,70,31,30,60,63,63,0x19310811a4619260,0x88c07aa586e20fb4,0xfddd5dcc1c50dacb,0x3af640f745dffc2ac
14,71,35,34,60,64,64,0x1119f6545aa56ab6,0x12d50447ce8d2c996,0x1b569ad4f6570eb6f,0x4a2d0d5d29cfa51da
14,72,44,43,58,64,65,0x4154d2044e101ea,0x1b9e41e6d7655ce3a,0x2e428f1d17f279f9b,0xdde81523cc9f041f6
14,73,94,93,57,64,65,0x36f9660ca89322c,0x1e99308d803245b78,0x2b43fd7c9f2f34aed,0x122085c7006d856922
14,74,105,104,60,65,66,0x116ae20869f41436,0x3ee07af66308efdba,0x4e4fa050145418ceb,0x17068df14cb76b957c
14,75,51,50,54,67,68,0x6bed79991f0164,0x8e25d20450827a5d7,0x1309d41e5f75940844,0x7eca563d7106ae5d36
14,76,204,203,59,66,67,0x9002bafe958f7f0,0x6b3a8be2f31fc2052,0x9e72061c0db7fe598,0x3f858f4d5e949479c6
14,77,14,13,62,67,72,0x5bfcc58946e5b3d2,0xa9c940def1147e2e6,0x1271d4b87e579505876,0x5ffe67faec1e0552fbe
14,83,1,0,,,,,,
14,84,1,0,,,,,,
14,85,2,1,81,81,81,0x2c4ed39d55ae4b5582c4a,0x2c4ed39d55ae4b5582c4a,0x2c4ed39d55ae4b5582c4a,0x2c4ed39d55ae4b5582c4a
