gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
50,0x7d8b05d652f8c,2208576829730700,10,88,0x8f9cabc0ceb41682a2b141,0x8f9cabc0d68cc6e007e0cd
50,0x7e1756236cc1e,2218219112156190,10,89,0x1fced446cc68af42ee40171,0x1fced446cce6c69911acd8f
50,0x7f6ba24544124,2241604170826020,10,90,0x3a50bb1e39991df0a6cb3e9,0x3a50bb1e3a188992ec0f50d
50,0x7fa010ad39cbe,2245207220526270,10,89,0x142291c3a4e802956ada333,0x142291c3a567a2a61813ff1
50,0x7fe88ec481bc6,2250188870130630,10,91,0x629034cedd1f844e9cd6b15,0x629034cedd9f6cdd61586db
51,0x80362f695380a,2255523392337930,10,90,0x2a1c6bc38e1a4cb756329a5,0x2a1c6bc38e9a82e6bf861af
51,0x808a9f02c437c,2261325785613180,10,90,0x2e0cc3f88e23fb9ba135957,0x2e0cc3f88ea4863aa3f9cd3
51,0x80f15bf9c2dfe,2268385897098750,10,90,0x2f627e4cc5d5f28aae1f3c7,0x2f627e4cc656e3e6a7e21c5
51,0x81195de1fd1ae,2271135188111790,10,90,0x20370a3e5ebd993a56a7521,0x20370a3e5f3eb29838a46cf
51,0x812a63c70c3ce,2272305001579470,10,90,0x2db18002c87262d1646b757,0x2db18002c8f38d352b77b25
51,0x818861a12a1d6,2278764055798230,10,88,0x8597c9fa40350184b67343,0x8597c9fa484d879ec91519
51,0x81b667ad937ea,2281926775355370,10,91,0x6f47a8012346af8d8446573,0x6f47a80123c865f531d9d5d
51,0x81b934174616e,2282119085973870,10,91,0x545a236594cc81e9692d3bb,0x545a2365954e3b1d8073529
51,0x8278e175d474c,2295291044513612,12,69,0x1debc436488734c9ff,0x1debcc5dd69e92114b
51,0x828a173ca3c4a,2296473711164490,10,88,0x8ec72baf5d85b2a23bd11f,0x8ec72baf65ae5416060d69
51,0x82eac6da214f8,2303117922276600,10,90,0x2747192de8a814829da48d7,0x2747192de92aff4977c5dcf
51,0x840f19a324eca,2323206231969482,12,70,0x3514459f508ecac813,0x35144de04228fd16dd
51,0x8422c3d5d2470,2324557589193840,10,88,0xb13bd72a11a6fd6ebd2509,0xb13bd72a19e929ac1a4979
51,0x84b88d0aaa63e,2334850802165310,10,86,0x21f8b77c23639110b9afb5,0x21f8b77c2baf19e16455f3
