# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3^2*5*7*11*13*19*53  # freq=732 bits=26.43
2*3^2*5*11*13^2*19*29  # freq=721 bits=26.46
2*3*5*11*13^2*19*47  # freq=719 bits=25.57
2*3*5*7*11^2*13*19*29  # freq=718 bits=27.44
2*3*5*11*13*19*23*53  # freq=710 bits=26.57
2*3*5*11*13^2*19*43  # freq=709 bits=25.44
2*3^2*5^2*11*13*19*31  # freq=708 bits=25.18
2*3^3*5*11*13*19*61  # freq=699 bits=25.42
2*3^3*5*7*11*13^2*19  # freq=693 bits=25.99
2*3*5*11*13*19*29*59  # freq=691 bits=27.06
2*3^2*5^2*7^2*11*13*19  # freq=691 bits=25.84
2*3*5*7*11*13*19*23*29  # freq=668 bits=28.50
2*3*5*7*11*13^2*17*19  # freq=660 bits=26.91
2*3^2*5*11*13*17^2*19  # freq=658 bits=26.07
2*3^2*5^2*11*13*19*47  # freq=652 bits=25.78
2*3^3*5^2*11*13*19*29  # freq=649 bits=26.66
2*3^5*5^2*11*13*19  # freq=649 bits=24.98
2*3*5^2*7*11*13*19*41  # freq=643 bits=26.80
2*3^2*5*11*13*17*19^2  # freq=641 bits=26.24
2*3^2*5*11*13*17*19*37  # freq=640 bits=27.20
2*3*5*11*13*19*23*59  # freq=637 bits=26.72
2*3*5*11*13*19*37*41  # freq=633 bits=26.88
2*3*5^2*11^2*13*17*19  # freq=629 bits=26.18
2*3*5*11*13*19*29*61  # freq=624 bits=27.10
2*3*5*11*13*19^2*41  # freq=624 bits=25.92
2*3^2*5*11*13^2*19*23  # freq=617 bits=26.12
2*3*5^3*11*13*19*37  # freq=616 bits=26.17
2*3*5*11^2*13*19*59  # freq=615 bits=25.66
2*3*5*7*11^3*13*19  # freq=605 bits=26.04
2*3*5*7*11*13^2*19*29  # freq=601 bits=27.68
