# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_all.py (predicate: q in fp iff q|(p+1); palette [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# ALL unique immune fingerprints in CC10-99 band (1551489 roots scanned, 0 with empty raw fp)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5) — v16 requires D_V superset of D_sieve
# format: P1*P2*...*Pk  # freq=NNN bits=BB.B  (one D_V per line)
# total unique D_V: 1372
# D_V bit-range: min=12.07 max=47.37 span=35.31 bits
2*3*5*7*11*13*19*23*29*37  # freq=108 bits=33.71
2*3*5*11*13*19*23*41*47  # freq=105 bits=31.75
2*3*5*11*13*19*29*37*59  # freq=105 bits=32.26
2*3*5*7*11*13*17*19*23*41  # freq=103 bits=33.09
2*3*5*11*13*19*29*37*53  # freq=103 bits=32.11
2*3*5*11*13*19*29*31*47  # freq=101 bits=31.68
2*3*5*11*13*19*29*37*61  # freq=101 bits=32.31
2*3*5*11*13*17*19*41*53  # freq=100 bits=31.49
2*3*5*7*11*13*17*19*29*43  # freq=99 bits=33.49
2*3*5*7*11*13*17*19*29*47  # freq=97 bits=33.62
2*3*5*11*13*17*19*47*53  # freq=97 bits=31.68
2*3*5*11*13*17*19*31*53  # freq=96 bits=31.08
2*3*5*11*13*19*29*41*53  # freq=96 bits=32.26
2*3*5*7*11*13*19*23*29*31  # freq=95 bits=33.46
2*3*5*11*13*19*23*37*47  # freq=95 bits=31.60
2*3*5*11*13*17*19*41*59  # freq=94 bits=31.64
2*3*5*11*13*19*23*41*43  # freq=94 bits=31.62
2*3*5*11*13*19*23*31*41  # freq=93 bits=31.15
2*3*5*11*13*19*23*31*43  # freq=93 bits=31.22
2*3*5*11*13*19*29*43*53  # freq=93 bits=32.33
2*3*5*7*11*13*17*19*23*31  # freq=91 bits=32.69
2*3*5*7*11*13*43  # freq=90 bits=20.30
2*3*5*11*13*19*23*31*47  # freq=89 bits=31.35
2*3*5*11*13*17*23  # freq=88 bits=20.68
2*3*5*11*13*19*23*37*59  # freq=88 bits=31.93
2*3*5*11*13*19*29*31*53  # freq=88 bits=31.85
2*3*5*11*13*17*19*31*61  # freq=87 bits=31.29
2*3*5*11*13*19*23*37*53  # freq=87 bits=31.78
2*3*5*7*11*13*47  # freq=85 bits=20.43
2*3*5*11*13*17*19*41*61  # freq=85 bits=31.69
2*3*5*7*11*13*19*23*29*41  # freq=84 bits=33.86
2*3*5*7*11*13*17*19*23*43  # freq=83 bits=33.16
2*3*5*11*13*17*19*31*59  # freq=83 bits=31.24
2*3*5*11*13*19*29*43*47  # freq=82 bits=32.15
2*3*5*11*13*17*29  # freq=81 bits=21.01
2*3*5*11*13*19*29*41*59  # freq=81 bits=32.41
2*3*5*11*13*19*29*47*53  # freq=80 bits=32.46
2*3*5*11*13*19*23*37*61  # freq=79 bits=31.98
2*3*5*7*11*13*17*19*23*53  # freq=78 bits=33.46
2*3*5*11*13*17*19*43*59  # freq=78 bits=31.71
2*3*5*7*11*13*53  # freq=77 bits=20.60
2*3*5*11*13*19*23*43*47  # freq=77 bits=31.82
2*3*5*7*11*13*17*19*29*53  # freq=76 bits=33.80
2*3*5*11*13*17*19*47*61  # freq=75 bits=31.89
2*3*5*11*13*17*19*47*59  # freq=74 bits=31.84
2*3*5*11*13*19*23*41*53  # freq=72 bits=31.92
2*3*5*11*13*19*29*43*61  # freq=72 bits=32.53
2*3*5*7*11*13*17*19*23*47  # freq=71 bits=33.29
2*3*5*11*13*17*19*43*53  # freq=71 bits=31.56
2*3*5*11*13*17*19*53*59  # freq=71 bits=32.01
2*3*5*7*11*13*19*23*29*43  # freq=70 bits=33.93
2*3*5*11*13*19*31*37*41  # freq=70 bits=31.84
2*3*5*11*13*17*19*43*61  # freq=69 bits=31.76
2*3*5*11*13*19*29*47*59  # freq=69 bits=32.61
2*3*5*11*13*19*29*47*61  # freq=69 bits=32.66
2*3*5*7*11*13*19*29*31*37  # freq=67 bits=34.14
2*3*5*11*13*19*29*43*59  # freq=67 bits=32.48
2*3*5*11*13*19*37*41*43  # freq=67 bits=32.31
2*3*5*7*11*13*59  # freq=66 bits=20.76
2*3*5*7*11*13*19*23*29*47  # freq=65 bits=34.06
2*3*5*7*11*13*19*23*29*53  # freq=65 bits=34.23
2*3*5*7*11*13*17*19*29*59  # freq=64 bits=33.95
2*3*5*11*13*19*23*31*61  # freq=63 bits=31.72
2*3*5*11*13*19*23*47*53  # freq=63 bits=32.12
2*3*5*11*13*19*29*41*61  # freq=63 bits=32.46
2*3*5*7*11*13*17*19*29*61  # freq=62 bits=34.00
2*3*5*11*13*19*23*41*59  # freq=62 bits=32.08
2*3*5*11*13*23*29  # freq=61 bits=21.45
2*3*5*7*11*13*17*19*37*41  # freq=60 bits=33.78
2*3*5*7*11*13*61  # freq=60 bits=20.80
2*3*5*11*13*19*23*31*53  # freq=60 bits=31.52
2*3*5*11*13*19*29*31*59  # freq=60 bits=32.01
2*3*5*11*13*19*23*53*59  # freq=58 bits=32.45
2*3*5*11*13*17*37  # freq=57 bits=21.36
2*3*5*11*13*19*29*53*61  # freq=57 bits=32.83
2*3*5*11*13*19*31*37*43  # freq=57 bits=31.90
2*3*5*7*11*13*19*29*37*41  # freq=56 bits=34.55
2*3*5*11*13*19*23*43*53  # freq=56 bits=31.99
2*3*5*11*13*19*23*43*59  # freq=56 bits=32.15
2*3*5*11*13*19*23*43*61  # freq=55 bits=32.20
2*3*5*11*13*19*29*53*59  # freq=55 bits=32.78
2*3*5*7*11*13*17*19*31*37  # freq=54 bits=33.37
2*3*5*11*13*17*19*53*61  # freq=54 bits=32.06
2*3*5*11*13*19*37*41*53  # freq=54 bits=32.61
2*3*5*11*13*19*37*43*47  # freq=54 bits=32.50
2*3*5*7*11*13*19*23*37*41  # freq=53 bits=34.21
2*3*5*11*13*19*31*37*59  # freq=53 bits=32.36
2*3*5*11*13*19*23*31*59  # freq=52 bits=31.68
2*3*5*11*13*19*23*41*61  # freq=51 bits=32.13
2*3*5*11*13*19*31*37*47  # freq=51 bits=32.03
2*3*5*11*13*19*37*41*47  # freq=51 bits=32.44
2*3*5*7*11*13*19*23*29*61  # freq=50 bits=34.43
2*3*5*7*11*13*17*19*23*59  # freq=49 bits=33.62
2*3*5*7*11*13*19*29*37*43  # freq=49 bits=34.62
2*3*5*7*11*13*19*29*37*47  # freq=49 bits=34.74
2*3*5*11*13*19*23*47*59  # freq=49 bits=32.28
2*3*5*7*11*13*19*23*29*59  # freq=48 bits=34.39
2*3*5*7*11*13*17*19*37*47  # freq=47 bits=33.97
2*3*5*11*13*17*19*59*61  # freq=47 bits=32.22
2*3*5*7*11*13*17*19*37*43  # freq=46 bits=33.85
2*3*5*7*11*13*17*19*41*43  # freq=46 bits=33.99
2*3*5*7*11*13*19*29*31*41  # freq=46 bits=34.29
2*3*5*7*11*13*19*29*41*47  # freq=46 bits=34.89
2*3*5*7*11*13*19*29*41*43  # freq=45 bits=34.76
2*3*5*11*13*19*29*31*61  # freq=45 bits=32.06
2*3*5*7*11*13*17*19*23*61  # freq=44 bits=33.66
2*3*5*11*13*17*19*23*29*31  # freq=43 bits=34.74
2*3*5*11*13*19*23*47*61  # freq=43 bits=32.32
2*3*5*7*11*13*17*19*41*47  # freq=42 bits=34.12
2*3*5*11*13*17*19*23*29*37  # freq=42 bits=34.99
2*3*5*11*13*19*31*41*43  # freq=42 bits=32.05
2*3*5*7*11*13*19*23*37*47  # freq=41 bits=34.41
2*3*5*7*11*13*19*29*37*53  # freq=41 bits=34.92
2*3*5*11*13*19*29*59*61  # freq=41 bits=32.99
2*3*5*11*13*19*31*37*53  # freq=41 bits=32.21
2*3*5*11*13*19*37*43*59  # freq=41 bits=32.83
2*3*5*11*13*19*37*43*61  # freq=41 bits=32.88
2*3*5*7*11*13*19*23*31*43  # freq=40 bits=34.03
2*3*5*11*13*19*31*41*47  # freq=40 bits=32.18
2*3*5*7*11*13*17*19*31*41  # freq=39 bits=33.52
2*3*5*7*11*13*17*19*37*53  # freq=39 bits=34.15
2*3*5*7*11*13*19*23*31*41  # freq=39 bits=33.96
2*3*5*11*13*17*31  # freq=39 bits=21.11
2*3*5*11*13*19*23*59*61  # freq=39 bits=32.65
